,fr,en
48,"Actuellement, les astronomes professionnels ont tous une formation poussée en astrophysique et leurs observations sont presque toujours étudiées dans un contexte astrophysique.","Nowadays, professional astronomers have a strong background in astrophysics and their observations are almost always examined in an astrophysical context."
49,"Les astronomes amateurs jouent également un rôle important en recherche; les plus sérieux participant couramment au suivi d'étoiles variables, à la découverte de nouveaux astéroïdes et de nouvelles comètes, etc.","The most serious amateurs actively participate in the study of variable stars, the discovery of new asteroids or comets, and other exciting astronomical work."
50,Séquence vidéo  John Richard Bond explique le rôle de l'astronomie.,Video Sequence  John Richard Bond explains what the purpose of astronomy is .
51,© 2006 Une idée originale et une réalisation de L'ASTROLab du Parc national du Mont-Mégantic,© 2006 An original idea and a realization of the ASTROLab of Mont-Mégantic National Park
52,Astronomes © 2006 Une idée originale et une réalisation de L'ASTROLab du Parc national du Mont-Mégantic,Astronomers © 2006 An original idea and a realization of the ASTROLab of Mont-Mégantic National Park
53,Astronomes Ligne de temps,Astronomers Timeline
54,Verbatim L'aventure astronomique canadienne,Verbatim A journey into Canadian astronomy
55,"Instruments Les Égyptiens utilisent le transit pour la première fois, environ 2000 ans avant Jésus-Christ.","Instruments The ancient Egyptians use the transit for the first time about 4,000 years ago."
56,Instruments L'astrolabe et l'octant sont les ancêtres du sextant.,Instruments The astrolab and octant are the predecessors of the sextant.
57,"Observatoires Depuis des milliers d'années, les autochtones observent les étoiles pour se repérer dans l'espace et le temps.","Observatories For thousands of years, native people use the stars to navigate and to monitor the passage of time."
58,Ils s'en inspirent aussi pour créer des légendes fabuleuses transmisent de génération en génération.,"Stars are also the inspiration for native legends, which are passed down from generation to generation."
59,Instruments Les Assyriens sont vraisemblablement les premiers à utliser la lentille pour grossir les objets aux environs de 1500 ans avant Jésus-Christ.,"Instruments The Assyrians are likely the first to use lenses to magnify objects, probably around 1,500 BC."
60,"ÉvolutionImages Le peintre flamand Jan van Eyck réalise le dessin le plus ancien connu de la Lune dans son tableau intitulé ""La crucifixion"".","Evolution of images Flemish painter Jan van Eyck makes the first known drawing of the Moon in his painting entitled ""The crucifixion""."
